CEB,Education_level,birth_age
8,0,15
8,0,15
8,0,15
8,0,15
8,0,15
8,0,15
8,0,15
8,0,15
8,1,24
8,1,24
8,1,24
8,1,24
8,1,24
8,1,24
8,1,24
8,1,24
12,0,21
12,0,21
12,0,21
12,0,21
12,0,21
12,0,21
12,0,21
12,0,21
12,0,21
12,0,21
12,0,21
12,0,21
1,0,17
4,0,23
4,0,23
4,0,23
4,0,23
3,0,29
3,0,29
3,0,29
5,0,21
5,0,21
5,0,21
5,0,21
5,0,21
2,0,21
2,0,21
7,0,14
7,0,14
7,0,14
7,0,14
7,0,14
7,0,14
7,0,14
2,1,23
2,1,23
3,0,17
3,0,17
3,0,17
7,0,18
7,0,18
7,0,18
7,0,18
7,0,18
7,0,18
7,0,18
7,0,16
7,0,16
7,0,16
7,0,16
7,0,16
7,0,16
7,0,16
5,0,21
5,0,21
5,0,21
5,0,21
5,0,21
6,0,22
6,0,22
6,0,22
6,0,22
6,0,22
6,0,22
1,1,17
8,0,21
8,0,21
8,0,21
8,0,21
8,0,21
8,0,21
8,0,21
8,0,21
6,0,26
6,0,26
6,0,26
6,0,26
6,0,26
6,0,26
3,0,15
3,0,15
3,0,15
8,0,22
8,0,22
8,0,22
8,0,22
8,0,22
8,0,22
8,0,22
8,0,22
6,0,25
6,0,25
6,0,25
6,0,25
6,0,25
6,0,25
1,1,21
6,0,18
6,0,18
6,0,18
6,0,18
6,0,18
6,0,18
2,0,21
2,0,21
8,0,21
8,0,21
8,0,21
8,0,21
8,0,21
8,0,21
8,0,21
8,0,21
2,1,19
2,1,19
6,0,16
6,0,16
6,0,16
6,0,16
6,0,16
6,0,16
2,1,17
2,1,17
1,1,16
5,0,14
5,0,14
5,0,14
5,0,14
5,0,14
2,0,20
2,0,20
2,0,26
2,0,26
3,0,18
3,0,18
3,0,18
3,0,16
3,0,16
3,0,16
2,0,19
2,0,19
6,0,23
6,0,23
6,0,23
6,0,23
6,0,23
6,0,23
3,0,16
3,0,16
3,0,16
7,0,13
7,0,13
7,0,13
7,0,13
7,0,13
7,0,13
7,0,13
2,0,16
2,0,16
1,0,26
2,0,19
2,0,19
1,1,27
11,0,15
11,0,15
11,0,15
11,0,15
11,0,15
11,0,15
11,0,15
11,0,15
11,0,15
11,0,15
11,0,15
4,0,21
4,0,21
4,0,21
4,0,21
2,0,21
2,0,21
4,0,19
4,0,19
4,0,19
4,0,19
4,0,19
4,0,19
4,0,19
4,0,19
6,0,18
6,0,18
6,0,18
6,0,18
6,0,18
6,0,18
4,0,16
4,0,16
4,0,16
4,0,16
3,0,20
3,0,20
3,0,20
7,0,15
7,0,15
7,0,15
7,0,15
7,0,15
7,0,15
7,0,15
2,1,20
2,1,20
1,1,18
1,0,20
5,0,17
5,0,17
5,0,17
5,0,17
5,0,17
3,0,22
3,0,22
3,0,22
4,0,17
4,0,17
4,0,17
4,0,17
4,0,16
4,0,16
4,0,16
4,0,16
1,0,19
4,0,26
4,0,26
4,0,26
4,0,26
1,1,21
3,0,19
3,0,19
3,0,19
2,0,15
2,0,15
3,0,19
3,0,19
3,0,19
10,0,15
10,0,15
10,0,15
10,0,15
10,0,15
10,0,15
10,0,15
10,0,15
10,0,15
10,0,15
2,0,16
2,0,16
4,1,16
4,1,16
4,1,16
4,1,16
4,1,24
4,1,24
4,1,24
4,1,24
4,1,18
4,1,18
4,1,18
4,1,18
7,1,15
7,1,15
7,1,15
7,1,15
7,1,15
7,1,15
7,1,15
3,2,18
3,2,18
3,2,18
1,1,18
4,2,22
4,2,22
4,2,22
4,2,22
3,1,22
3,1,22
3,1,22
5,1,15
5,1,15
5,1,15
5,1,15
5,1,15
6,0,18
6,0,18
6,0,18
6,0,18
6,0,18
6,0,18
2,0,22
2,0,22
4,1,18
4,1,18
4,1,18
4,1,18
4,0,19
